sample_name,project,total_reads,merged_reads,filtered_reads,truncated_reads,filter_strategy,filter_file,final_reads,*sample_name,sample_title,*organism,*collection_date,*env_broad_scale,*env_local_scale,*env_medium,*geo_loc_name,*host,*lat_lon,elev,source_material_id,description
NTC-001_S95,ITS2_test_R-overhaul,62132,45141,12023,59458,MERGE & Filter,NTC-001_S95.mergefiltered.fa,12023,,,metagenome,,,,,,,,,,
NTC-002_S191,ITS2_test_R-overhaul,68554,32384,4163,64348,TRUNC & Filter,NTC-002_S191.trunc.fa,64348,,,metagenome,,,,,,,,,,
NTC-003_S263,ITS2_test_R-overhaul,81283,57717,14990,77513,MERGE & Filter,NTC-003_S263.mergefiltered.fa,14990,,,metagenome,,,,,,,,,,
NTC-004_S383,ITS2_test_R-overhaul,26341,10862,1976,24754,TRUNC & Filter,NTC-004_S383.trunc.fa,24754,,,metagenome,,,,,,,,,,
PTC-001_S96,ITS2_test_R-overhaul,69633,52505,12449,67370,MERGE & Filter,PTC-001_S96.mergefiltered.fa,12449,,,metagenome,,,,,,,,,,
PTC-002_S192,ITS2_test_R-overhaul,40090,6356,70,37714,TRUNC & Filter,PTC-002_S192.trunc.fa,37714,,,metagenome,,,,,,,,,,
PTC-003_S264,ITS2_test_R-overhaul,76659,31735,3058,71606,TRUNC & Filter,PTC-003_S264.trunc.fa,71606,,,metagenome,,,,,,,,,,
PTC-004_S384,ITS2_test_R-overhaul,40489,5152,48,37897,TRUNC & Filter,PTC-004_S384.trunc.fa,37897,,,metagenome,,,,,,,,,,
VB-A23-BB001_S1,ITS2_test_R-overhaul,56482,48704,15475,55625,MERGE & Filter,VB-A23-BB001_S1.mergefiltered.fa,15475,,,metagenome,,,,,,,,,,
VB-A23-BB004_S2,ITS2_test_R-overhaul,36540,33551,15965,36014,MERGE & Filter,VB-A23-BB004_S2.mergefiltered.fa,15965,,,metagenome,,,,,,,,,,
VB-A23-BB021_S3,ITS2_test_R-overhaul,55676,44563,8791,53500,TRUNC & Filter,VB-A23-BB021_S3.trunc.fa,53500,,,metagenome,,,,,,,,,,
VB-A23-BB024_S4,ITS2_test_R-overhaul,43760,35778,10125,42006,MERGE & Filter,VB-A23-BB024_S4.mergefiltered.fa,10125,,,metagenome,,,,,,,,,,
VB-A23-BB027_S5,ITS2_test_R-overhaul,55966,47635,12754,54030,MERGE & Filter,VB-A23-BB027_S5.mergefiltered.fa,12754,,,metagenome,,,,,,,,,,
VB-A23-BB028_S6,ITS2_test_R-overhaul,24229,19466,4293,23259,TRUNC & Filter,VB-A23-BB028_S6.trunc.fa,23259,,,metagenome,,,,,,,,,,
VB-A23-BB029_S7,ITS2_test_R-overhaul,48159,42569,16903,46567,MERGE & Filter,VB-A23-BB029_S7.mergefiltered.fa,16903,,,metagenome,,,,,,,,,,
VB-A23-BB051_S8,ITS2_test_R-overhaul,27206,19110,2115,26202,TRUNC & Filter,VB-A23-BB051_S8.trunc.fa,26202,,,metagenome,,,,,,,,,,
VB-A23-BB052_S9,ITS2_test_R-overhaul,47306,33799,7116,44974,TRUNC & Filter,VB-A23-BB052_S9.trunc.fa,44974,,,metagenome,,,,,,,,,,
VB-A23-BB054_S10,ITS2_test_R-overhaul,49193,41012,15201,47617,MERGE & Filter,VB-A23-BB054_S10.mergefiltered.fa,15201,,,metagenome,,,,,,,,,,
